Item_id,Category,Item_Name,Price,description,image,available,image_width,image_height,image_size_kb
1,Breakfast,Idly,,morning,https://recipes.timesofindia.com/photo/54714946.cms,True,450,450,30.1
2,Breakfast,Plain Dosai,,"morning, evening, night",https://ts1.mm.bing.net/th?id=OIP.6sNaObj8nEOB0uie8gW5uQAAAA&pid=15.1,True,400,400,57.8
3,Breakfast,Egg Dosai,,"morning, evening, night",https://ts4.mm.bing.net/th?id=OIP.j0PDFVHo-dFu5Jkd390kBgAAAA&pid=15.1,True,400,400,64.5
4,Breakfast,Onion Uthappam,,"morning, evening, night",https://rakskitchen.net/wp-content/uploads/2013/03/8527219504_0ddb2cde6f_z-360x360.jpg,True,360,360,31.8
5,Breakfast,Poori,,"morning, evening, night",https://www.subbuskitchen.com/wp-content/uploads/2017/01/Methi-Poori_finalforweb1-400x400.jpg,True,400,400,39.3
6,Breakfast,Chapati,,"morning, evening, night",https://cafenargun.com/wp-content/uploads/2021/10/Chapati-Recipe-_-How-to-Make-Chapati-_-Quick-Chapati-Recipe-400x400.png,True,400,400,261.5
7,Breakfast,Plain Prata,,"evening, night",https://ts3.mm.bing.net/th?id=OIP.JC_slYdAK0K8hb3NPKuI9wAAAA&pid=15.1,True,400,400,51.2
8,Breakfast,Egg Prata,,"evening, night",https://ts3.mm.bing.net/th?id=OIP.AUJp1oJ71SqF1_QByuC9yAAAAA&pid=15.1,True,400,400,52.5
9,Breakfast,Onion Prata,,"evening, night",https://ts2.mm.bing.net/th?id=OIP.x17-prJT3gBLASIfqMTP3AAAAA&pid=15.1,True,400,400,56.0
10,Breakfast,Egg Bread Toast,,morning,https://ts2.mm.bing.net/th?id=OIP.L9A-5WuprhpFnmgwRN6cgwAAAA&pid=15.1,True,474,395,39.9
11,Breakfast,Raagi Kanchi,,morning,https://revi.b-cdn.net/wp-content/uploads/2017/04/ragi-kanji-main-480x480.jpg,True,480,480,42.4
12,Breakfast,Idiyappam,,anytime,https://nishkitchen.com/wp-content/uploads/2016/03/IDIYAPPAM-1b-480x480.jpg,True,480,480,48.2
13,Breakfast,Puttu,,anytime,https://www.subbuskitchen.com/wp-content/uploads/2020/05/Puttu_final2-1-1024x681-1-400x400.jpg,True,400,400,30.5
14,Breakfast,Vadai,,"morning, evening",https://traditionallymodernfood.com/wp-content/uploads/2022/02/sabudana-vada-javvarisi-vadai-59-768x768.jpeg,True,768,768,103.8
15,Breakfast,Curry Puff,,"noon, night",https://ts1.mm.bing.net/th?id=OIP.La8veIDl86T3Qs4rZnYa9wAAAA&pid=15.1,True,474,474,29.1
16,Breakfast,Potato Puff,,"morning, evening",https://allmomsrecipes.com/wp-content/uploads/2025/02/image-40-360x361.png,True,360,361,191.8
17,Breakfast,Pongal,,morning,https://www.indianhealthyrecipes.com/wp-content/uploads/2021/01/sweet-pongal-chakkara-pongal-500x500.jpg,True,500,500,59.5
